#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 366: Brighton, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type                Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1981-2010)        None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1981-2010)   None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Average (1981-2010)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of average (1981-2010)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brighton (366) 
# Utah  SNOTEL Site - 8766 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Oct 22, 2018 8:11:38 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1981-2010) (in) Start of Day Values,Snow Water Equivalent % of Median (1981-2010),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Average Precipitation Accumulation (1981-2010) (in) Start of Day Values,Precipitation Accumulation % of Average (1981-2010),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1992-10-08,0.0,0.0,,,0.0,0.7,0,,,
1992-10-09,0.0,0.0,,,0.0,0.8,0,,,
1992-10-10,0.0,0.0,,,0.0,0.8,0,,,
1992-10-11,0.0,0.0,,,0.0,0.9,0,,,
1992-10-12,0.0,0.0,,,0.0,1.0,0,,,
1992-10-13,0.0,0.0,,,0.0,1.1,0,,,
1992-10-14,0.0,0.0,,,0.0,1.1,0,,,
1992-10-15,0.0,0.0,,,0.0,1.2,0,,,
1992-10-16,0.0,0.0,,,0.0,1.3,0,,,
1992-10-17,0.0,0.0,,,0.0,1.4,0,,,
1992-10-18,0.0,0.0,,,0.0,1.5,0,,,
1992-10-19,0.0,0.0,,,0.0,1.7,0,,,
1992-10-20,0.0,0.0,,,0.0,1.8,0,,,
1992-10-21,0.0,0.0,,,0.0,2.0,0,,,
1992-10-22,0.0,0.0,,,0.0,2.1,0,,,
1992-10-23,0.0,0.0,,,0.1,2.1,5,,,
1992-10-24,0.0,0.0,,,0.2,2.3,9,,,
1992-10-25,0.0,0.0,,,0.6,2.4,25,,,
1992-10-26,0.0,0.0,,,0.9,2.5,36,,,
1992-10-27,0.0,0.0,,,0.9,2.6,35,,,
1992-10-28,0.0,0.1,0,,1.4,2.7,52,,,
1992-10-29,0.0,0.2,0,,1.6,2.8,57,,,
1992-10-30,0.3,0.2,150,,2.1,2.9,72,,,
1992-10-31,1.2,0.4,300,,3.4,3.1,110,,,
1992-11-01,1.4,0.5,280,,3.7,3.3,112,,,
1992-11-02,2.3,0.6,383,,4.6,3.5,131,,,
1992-11-03,3.5,0.7,500,,5.7,3.7,154,,,
1992-11-04,3.3,0.8,413,,5.9,3.8,155,,,
1992-11-05,3.4,1.0,340,,6.1,3.9,156,,,
1992-11-06,3.4,1.1,309,,6.1,4.1,149,,,
1992-11-07,3.4,1.3,262,,6.2,4.2,148,,,
1992-11-08,3.5,1.4,250,,6.4,4.3,149,,,
1992-11-09,3.5,1.6,219,,6.5,4.5,144,,,
1992-11-10,3.4,1.7,200,,6.5,4.7,138,,,
1992-11-11,3.3,1.9,174,,6.5,4.8,135,,,
1992-11-12,3.3,2.0,165,,6.6,4.9,135,,,
1992-11-13,3.5,2.2,159,,6.7,5.0,134,,,
1992-11-14,3.5,2.3,152,,6.7,5.2,129,,,
1992-11-15,3.5,2.4,146,,6.7,5.4,124,,,
1992-11-16,3.5,2.5,140,,6.8,5.4,126,,,
1992-11-17,3.5,2.7,130,,6.8,5.5,124,,,
1992-11-18,3.5,2.8,125,,6.8,5.7,119,,,
1992-11-19,3.5,2.9,121,,6.8,5.9,115,,,
1992-11-20,3.6,3.0,120,,7.1,5.9,120,,,
1992-11-21,3.7,3.2,116,,7.1,6.1,116,,,
1992-11-22,3.7,3.3,112,,7.4,6.2,119,,,
1992-11-23,4.8,3.4,141,,8.1,6.4,127,,,
1992-11-24,4.9,3.5,140,,8.4,6.6,127,,,
1992-11-25,4.9,3.6,136,,8.5,6.7,127,,,
1992-11-26,5.0,3.7,135,,8.5,6.9,123,,,
1992-11-27,5.0,3.9,128,,8.6,7.1,121,,,
1992-11-28,5.0,4.0,125,,8.8,7.3,121,,,
1992-11-29,5.0,4.1,122,,8.8,7.4,119,,,
1992-11-30,5.0,4.3,116,,8.8,7.6,116,,,
1992-12-01,5.2,4.5,116,,9.1,7.6,120,,,
1992-12-02,5.2,4.6,113,,9.2,7.8,118,,,
1992-12-03,5.2,4.7,111,,9.2,7.9,116,,,
1992-12-04,5.2,4.8,108,,9.2,8.0,115,,,
1992-12-05,5.2,4.9,106,,9.3,8.2,113,,,
1992-12-06,5.2,5.0,104,,9.3,8.3,112,,,
1992-12-07,5.2,5.0,104,,9.3,8.5,109,,,
1992-12-08,5.3,5.1,104,,9.5,8.7,109,,,
1992-12-09,5.5,5.2,106,,9.7,8.9,109,,,
1992-12-10,6.1,5.2,117,,10.5,9.0,117,,,
1992-12-11,6.1,5.4,113,,10.7,9.1,118,,,
1992-12-12,7.0,5.6,125,,11.5,9.3,124,,,
1992-12-13,7.0,5.8,121,,11.6,9.4,123,,,
1992-12-14,7.0,6.0,117,,11.7,9.7,121,,,
1992-12-15,7.2,6.3,114,,12.1,9.8,123,,,
1992-12-16,7.3,6.5,112,,12.1,9.9,122,,,
1992-12-17,7.4,6.8,109,,12.2,10.0,122,,,
1992-12-18,7.5,7.0,107,,12.4,10.2,122,,,
1992-12-19,7.6,7.1,107,,12.4,10.2,122,,,
1992-12-20,7.6,7.3,104,,12.6,10.4,121,,,
1992-12-21,7.8,7.5,104,,12.7,10.5,121,,,
1992-12-22,7.8,7.6,103,,12.8,10.6,121,,,
1992-12-23,7.8,7.6,103,,12.8,10.8,119,,,
1992-12-24,7.8,7.7,101,,12.8,10.9,117,,,
1992-12-25,7.8,7.8,100,,12.8,11.0,116,,,
1992-12-26,7.8,7.9,99,,13.0,11.2,116,,,
1992-12-27,7.8,8.0,98,,13.0,11.3,115,,,
1992-12-28,7.8,8.1,96,,13.3,11.4,117,,,
1992-12-29,7.8,8.2,95,,13.6,11.5,118,,,
1992-12-30,8.0,8.3,96,,14.3,11.7,122,,,
1992-12-31,8.5,8.3,102,,15.0,11.9,126,,,
1993-01-01,8.6,8.4,102,,15.2,12.1,126,,,
1993-01-02,8.7,8.5,102,,15.6,12.3,127,,,
1993-01-03,9.7,8.6,113,,16.3,12.6,129,,,
1993-01-04,9.7,8.7,111,,16.5,12.7,130,,,
1993-01-05,9.7,8.9,109,,16.5,13.0,127,,,
1993-01-06,9.8,9.1,108,,16.6,13.3,125,,,
1993-01-07,10.1,9.3,109,,16.8,13.5,124,,,
1993-01-08,10.7,9.5,113,,17.3,13.7,126,,,
1993-01-09,10.9,9.6,114,,17.4,13.8,126,,,
1993-01-10,11.8,9.8,120,,18.3,14.1,130,,,
1993-01-11,13.3,9.9,134,,19.8,14.4,138,,,
1993-01-12,13.6,10.0,136,,20.1,14.7,137,,,
1993-01-13,13.7,10.2,134,,20.3,14.8,137,,,
1993-01-14,13.8,10.4,133,,20.5,14.9,138,,,
1993-01-15,14.3,10.5,136,,20.9,15.0,139,,,
1993-01-16,14.3,10.7,134,,21.2,15.2,139,,,
1993-01-17,15.0,10.9,138,,21.8,15.4,142,,,
1993-01-18,15.2,11.0,138,,21.9,15.5,141,,,
1993-01-19,15.9,11.2,142,,22.5,15.7,143,,,
1993-01-20,15.9,11.2,142,,22.5,15.8,142,,,
1993-01-21,16.2,11.4,142,,22.9,16.0,143,,,
1993-01-22,16.4,11.6,141,,23.4,16.1,145,,,
1993-01-23,16.6,11.8,141,,23.5,16.3,144,,,
1993-01-24,16.7,12.1,138,,23.5,16.4,143,,,
1993-01-25,16.8,12.4,135,,23.7,16.6,143,,,
1993-01-26,16.8,12.7,132,,23.8,16.8,142,,,
1993-01-27,16.8,13.0,129,,23.8,17.0,140,,,
1993-01-28,16.8,13.3,126,,23.9,17.1,140,,,
1993-01-29,16.8,13.5,124,,23.9,17.3,138,,,
1993-01-30,16.9,13.5,125,,23.9,17.4,137,,,
1993-01-31,17.0,13.6,125,,23.9,17.6,136,,,
1993-02-01,17.1,13.6,126,,24.0,17.7,136,,,
1993-02-02,17.4,13.7,127,,24.1,17.8,135,,,
1993-02-03,17.4,13.7,127,,24.1,17.9,135,,,
1993-02-04,17.4,13.8,126,,24.1,18.1,133,,,
1993-02-05,17.4,13.9,125,,24.2,18.1,134,,,
1993-02-06,17.4,14.0,124,,24.2,18.2,133,,,
1993-02-07,17.4,14.2,123,,24.3,18.3,133,,,
1993-02-08,17.5,14.3,122,,24.3,18.4,132,,,
1993-02-09,18.0,14.4,125,,24.7,18.6,133,,,
1993-02-10,18.3,14.6,125,,25.0,18.8,133,,,
1993-02-11,18.6,14.7,127,,25.2,18.9,133,,,
1993-02-12,18.7,14.8,126,,25.4,19.1,133,,,
1993-02-13,18.7,14.9,126,,25.4,19.2,132,,,
1993-02-14,18.7,15.0,125,,25.6,19.4,132,,,
1993-02-15,18.7,15.2,123,,25.7,19.6,131,,,
1993-02-16,18.7,15.5,121,,25.7,19.8,130,,,
1993-02-17,18.9,15.7,120,,25.7,19.9,129,,,
1993-02-18,19.2,16.0,120,,25.9,20.1,129,,,
1993-02-19,19.4,16.2,120,,26.2,20.3,129,,,
1993-02-20,19.9,16.4,121,,27.1,20.5,132,,,
1993-02-21,21.2,16.6,128,,28.1,20.8,135,,,
1993-02-22,21.6,16.7,129,,28.3,20.9,135,,,
1993-02-23,22.1,16.8,132,,28.8,21.1,136,,,
1993-02-24,22.8,16.9,135,,29.4,21.2,139,,,
1993-02-25,23.6,17.1,138,,29.6,21.5,138,,,
1993-02-26,23.6,17.3,136,,29.8,21.6,138,,,
1993-02-27,23.7,17.4,136,,30.8,21.8,141,,,
1993-02-28,23.7,17.6,135,,30.9,21.9,141,,,
1993-03-01,23.8,17.8,134,,30.9,22.1,140,,,
1993-03-02,23.8,17.9,133,,30.9,22.3,139,,,
1993-03-03,23.8,18.0,132,,30.9,22.3,139,,,
1993-03-04,23.8,18.1,131,,30.9,22.5,137,,,
1993-03-05,23.8,18.2,131,,30.9,22.7,136,,,
1993-03-06,23.8,18.3,130,,30.9,22.9,135,,,
1993-03-07,23.8,18.5,129,,30.9,23.0,134,,,
1993-03-08,23.8,18.7,127,,30.9,23.1,134,,,
1993-03-09,23.8,18.8,127,,30.9,23.2,133,,,
1993-03-10,23.9,19.0,126,,30.9,23.4,132,,,
1993-03-11,24.0,19.1,126,,31.0,23.6,131,,,
1993-03-12,24.1,19.3,125,,31.0,23.7,131,,,
1993-03-13,24.1,19.5,124,,31.1,23.8,131,,,
1993-03-14,24.1,19.5,124,,31.2,23.9,131,,,
1993-03-15,24.8,19.6,127,,31.7,24.1,132,,,
1993-03-16,25.0,19.6,128,,31.8,24.2,131,,,
1993-03-17,25.3,19.6,129,,32.1,24.4,132,,,
1993-03-18,26.5,19.7,135,,33.1,24.6,135,,,
1993-03-19,26.7,19.8,135,,33.4,24.7,135,,,
1993-03-20,26.8,19.9,135,,33.4,24.9,134,,,
1993-03-21,26.8,20.0,134,,33.4,24.9,134,,,
1993-03-22,26.9,20.1,134,,33.4,25.1,133,,,
1993-03-23,26.7,20.3,132,,33.4,25.2,133,,,
1993-03-24,26.5,20.4,130,,33.4,25.4,132,,,
1993-03-25,26.5,20.6,129,,33.4,25.6,130,,,
1993-03-26,26.1,20.7,126,,33.8,25.7,132,,,
1993-03-27,25.6,20.9,122,,33.8,25.8,131,,,
1993-03-28,25.9,21.1,123,,34.2,26.0,132,,,
1993-03-29,26.7,21.3,125,,34.8,26.2,133,,,
1993-03-30,27.1,21.6,125,,35.1,26.4,133,,,
1993-03-31,27.6,21.8,127,,35.4,26.5,134,,,
1993-04-01,27.7,22.1,125,,35.5,26.6,133,,,
1993-04-02,28.6,22.4,128,,36.2,26.8,135,,,
1993-04-03,29.3,22.6,130,,36.8,27.0,136,,,
1993-04-04,29.5,22.8,129,,37.0,27.1,137,,,
1993-04-05,29.9,23.0,130,,37.3,27.3,137,,,
1993-04-06,30.1,23.3,129,,37.3,27.4,136,,,
1993-04-07,30.3,23.4,129,,37.4,27.5,136,,,
1993-04-08,30.4,23.5,129,,37.4,27.7,135,,,
1993-04-09,30.5,23.6,129,,37.5,27.8,135,,,
1993-04-10,30.6,23.6,130,,37.8,28.0,135,,,
1993-04-11,30.7,23.5,131,,37.9,28.1,135,,,
1993-04-12,30.7,23.5,131,,37.9,28.2,134,,,
1993-04-13,31.0,23.5,132,,38.0,28.3,134,,,
1993-04-14,31.3,23.4,134,,38.1,28.3,135,,,
1993-04-15,31.3,23.3,134,,38.1,28.5,134,,,
1993-04-16,31.3,23.1,136,,38.1,28.6,133,,,
1993-04-17,31.3,23.0,136,,38.2,28.7,133,,,
1993-04-18,31.6,22.7,139,,38.3,28.9,133,,,
1993-04-19,32.0,22.3,144,,39.0,29.1,134,,,
1993-04-20,32.4,22.0,147,,39.3,29.2,135,,,
1993-04-21,32.4,21.6,150,,39.4,29.3,134,,,
1993-04-22,32.4,21.3,152,,39.4,29.5,134,,,
1993-04-23,32.4,20.9,155,,39.6,29.6,134,,,
1993-04-24,32.4,20.6,157,,39.6,29.7,133,,,
1993-04-25,32.9,20.4,161,,40.1,29.8,135,,,
1993-04-26,33.1,20.2,164,,40.2,30.0,134,,,
1993-04-27,33.2,20.1,165,,40.2,30.1,134,,,
1993-04-28,32.9,20.0,165,,40.2,30.2,133,,,
1993-04-29,32.3,20.1,161,,40.3,30.4,133,,,
1993-04-30,31.8,20.2,157,,40.5,30.5,133,,,
1993-05-01,31.8,20.3,157,,40.5,30.6,132,,,
1993-05-02,31.7,20.3,156,,40.5,30.8,131,,,
1993-05-03,31.2,20.1,155,,40.6,30.9,131,,,
1993-05-04,31.2,19.8,158,,41.2,31.1,132,,,
1993-05-05,30.7,19.4,158,,41.7,31.3,133,,,
1993-05-06,31.3,18.8,166,,42.3,31.4,135,,,
1993-05-07,32.8,18.2,180,,43.7,31.5,139,,,
1993-05-08,33.1,17.4,190,,44.0,31.7,139,,,
1993-05-09,34.4,16.5,208,,45.0,31.8,142,,,
1993-05-10,34.4,15.6,221,,45.1,31.8,142,,,
1993-05-11,34.1,14.8,230,,45.1,31.9,141,,,
1993-05-12,34.0,14.2,239,,45.1,32.1,141,,,
1993-05-13,33.5,13.5,248,,45.1,32.2,140,,,
1993-05-14,32.5,12.9,252,,45.1,32.3,140,,,
1993-05-15,31.2,12.3,254,,45.1,32.4,139,,,
1993-05-16,29.9,11.8,253,,45.1,32.5,139,,,
1993-05-17,29.7,11.1,268,,45.1,32.5,139,,,
1993-05-18,29.6,10.4,285,,45.1,32.6,138,,,
1993-05-19,29.5,9.5,311,,45.1,32.6,138,,,
1993-05-20,29.3,8.2,357,,45.1,32.7,138,,,
1993-05-21,29.0,6.9,420,,45.1,32.7,138,,,
1993-05-22,28.8,5.7,505,,45.1,32.8,138,,,
1993-05-23,28.6,4.5,636,,45.1,32.9,137,,,
1993-05-24,28.4,3.3,861,,45.1,33.0,137,,,
1993-05-25,26.2,2.2,1191,,45.1,33.1,136,,,
1993-05-26,26.0,1.4,1857,,45.1,33.2,136,,,
1993-05-27,19.6,0.7,2800,,45.1,33.4,135,,,
1993-05-28,16.1,0.3,5367,,45.1,33.4,135,,,
1993-05-29,14.3,0.1,14300,,45.1,33.4,135,,,
1993-05-30,12.5,0.0,,,45.1,33.5,135,,,
1993-05-31,10.6,0.0,,,45.1,33.6,134,,,
1993-06-01,8.1,0.0,,,45.1,33.7,134,,,
1993-06-02,5.9,0.0,,,45.1,33.8,133,,,
1993-06-03,3.9,0.0,,,45.2,33.9,133,,,
1993-06-04,3.7,0.0,,,45.7,34.0,134,,,
1993-06-05,3.5,0.0,,,46.1,34.1,135,,,
1993-06-06,2.4,0.0,,,47.2,34.2,138,,,
1993-06-07,2.2,0.0,,,47.8,34.3,139,,,
1993-06-08,2.6,0.0,,,48.2,34.4,140,,,
1993-06-09,2.4,0.0,,,48.2,34.5,140,,,
1993-06-10,1.3,0.0,,,48.3,34.7,139,,,
1993-06-11,0.5,0.0,,,48.3,34.8,139,,,
1993-06-12,0.1,0.0,,,48.3,34.9,138,,,
1993-06-13,0.0,0.0,,,48.3,35.0,138,,,
1993-06-14,0.0,0.0,,,48.4,35.1,138,,,
1993-06-15,0.0,0.0,,,48.4,35.1,138,,,
1993-06-16,0.0,0.0,,,48.4,35.2,138,,,
1993-06-17,0.0,0.0,,,48.4,35.2,138,,,
1993-06-18,0.0,0.0,,,49.1,35.3,139,,,
1993-06-19,0.0,0.0,,,49.1,35.4,139,,,
1993-06-20,0.0,0.0,,,49.2,35.4,139,,,
1993-06-21,0.0,0.0,,,49.3,35.4,139,,,
1993-06-22,0.0,0.0,,,49.3,35.5,139,,,
1993-06-23,0.0,0.0,,,49.3,35.5,139,,,
1993-06-24,0.0,0.0,,,49.3,35.6,138,,,
1993-06-25,0.0,0.0,,,49.3,35.6,138,,,
1993-06-26,0.0,0.0,,,49.3,35.6,138,,,
1993-06-27,0.0,0.0,,,49.3,35.6,138,,,
1993-06-28,0.0,0.0,,,49.3,35.6,138,,,
1993-06-29,0.0,0.0,,,49.3,35.6,138,,,
1993-06-30,0.0,0.0,,,49.3,35.7,138,,,
1993-07-01,0.0,0.0,,,49.3,35.7,138,,,
1993-07-02,0.0,0.0,,,49.3,35.7,138,,,
1993-07-03,0.0,0.0,,,49.3,35.7,138,,,
1993-07-04,0.0,0.0,,,49.3,35.8,138,,,
1993-07-05,0.0,0.0,,,49.5,35.8,138,,,
1993-07-06,0.0,0.0,,,49.6,35.8,139,,,
1993-07-07,0.0,0.0,,,49.6,35.8,139,,,
1993-07-08,0.0,0.0,,,49.6,35.8,139,,,
1993-07-09,0.0,0.0,,,49.6,35.9,138,,,
1993-07-10,0.0,0.0,,,49.6,35.9,138,,,
1993-07-11,0.0,0.0,,,49.6,35.9,138,,,
1993-07-12,0.0,0.0,,,49.6,36.0,138,,,
1993-07-13,0.0,0.0,,,49.6,36.0,138,,,
1993-07-14,0.0,0.0,,,49.6,36.0,138,,,
1993-07-15,0.0,0.0,,,49.6,36.1,137,,,
1993-07-16,0.0,0.0,,,49.6,36.1,137,,,
1993-07-17,0.0,0.0,,,49.6,36.2,137,,,
1993-07-18,0.0,0.0,,,49.6,36.3,137,,,
1993-07-19,0.0,0.0,,,49.6,36.3,137,,,
1993-07-20,0.0,0.0,,,49.6,36.3,137,,,
1993-07-21,0.0,0.0,,,49.6,36.4,136,,,
1993-07-22,0.0,0.0,,,49.7,36.4,137,,,
1993-07-23,0.0,0.0,,,49.8,36.5,136,,,
1993-07-24,0.0,0.0,,,51.9,36.6,142,,,
1993-07-25,0.0,0.0,,,51.9,36.6,142,,,
1993-07-26,0.0,0.0,,,52.8,36.7,144,,,
1993-07-27,0.0,0.0,,,52.8,36.8,143,,,
1993-07-28,0.0,0.0,,,52.8,36.8,143,,,
1993-07-29,0.0,0.0,,,52.8,36.8,143,,,
1993-07-30,0.0,0.0,,,52.8,36.9,143,,,
1993-07-31,0.0,0.0,,,52.8,36.9,143,,,
1993-08-01,0.0,0.0,,,52.8,36.9,143,,,
1993-08-02,0.0,0.0,,,52.8,37.0,143,,,
1993-08-03,0.0,0.0,,,52.8,37.1,142,,,
1993-08-04,0.0,0.0,,,52.9,37.1,143,,,
1993-08-05,0.0,0.0,,,52.9,37.2,142,,,
1993-08-06,0.0,0.0,,,52.9,37.3,142,,,
1993-08-07,0.0,0.0,,,53.1,37.3,142,,,
1993-08-08,0.0,0.0,,,53.2,37.3,143,,,
1993-08-09,0.0,0.0,,,53.7,37.4,144,,,
1993-08-10,0.0,0.0,,,53.7,37.4,144,,,
1993-08-11,0.0,0.0,,,54.1,37.5,144,,,
1993-08-12,0.0,0.0,,,54.1,37.6,144,,,
1993-08-13,0.0,0.0,,,54.1,37.6,144,,,
1993-08-14,0.0,0.0,,,54.1,37.7,144,,,
1993-08-15,0.0,0.0,,,54.1,37.7,144,,,
1993-08-16,0.0,0.0,,,54.1,37.8,143,,,
1993-08-17,0.0,0.0,,,54.1,37.9,143,,,
1993-08-18,0.0,0.0,,,54.1,37.9,143,,,
1993-08-19,0.0,0.0,,,54.1,37.9,143,,,
1993-08-20,0.0,0.0,,,54.1,38.0,142,,,
1993-08-21,0.0,0.0,,,54.2,38.1,142,,,
1993-08-22,0.0,0.0,,,54.2,38.2,142,,,
1993-08-23,0.0,0.0,,,54.3,38.3,142,,,
1993-08-24,0.0,0.0,,,54.3,38.4,141,,,
1993-08-25,0.0,0.0,,,54.3,38.4,141,,,
1993-08-26,0.0,0.0,,,54.3,38.5,141,,,
1993-08-27,0.0,0.0,,,54.3,38.5,141,,,
1993-08-28,0.0,0.0,,,54.3,38.5,141,,,
1993-08-29,0.0,0.0,,,54.3,38.6,141,,,
1993-08-30,0.0,0.0,,,54.3,38.6,141,,,
1993-08-31,0.0,0.0,,,54.3,38.7,140,,,
1993-09-01,0.0,0.0,,,54.3,38.8,140,,,
1993-09-02,0.0,0.0,,,54.3,38.9,140,,,
1993-09-03,0.0,0.0,,,54.3,38.9,140,,,
1993-09-04,0.0,0.0,,,54.3,39.0,139,,,
1993-09-05,0.0,0.0,,,54.3,39.1,139,,,
1993-09-06,0.0,0.0,,,54.3,39.1,139,,,
1993-09-07,0.0,0.0,,,54.3,39.2,139,,,
1993-09-08,0.0,0.0,,,54.3,39.3,138,,,
1993-09-09,0.0,0.0,,,54.3,39.3,138,,,
1993-09-10,0.0,0.0,,,54.3,39.4,138,,,
1993-09-11,0.0,0.0,,,54.3,39.5,137,,,
1993-09-12,0.0,0.0,,,54.3,39.5,137,,,
1993-09-13,0.0,0.0,,,54.3,39.5,137,,,
1993-09-14,0.0,0.0,,,54.3,39.6,137,,,
1993-09-15,0.0,0.0,,,54.3,39.7,137,,,
1993-09-16,0.0,0.0,,,54.4,39.8,137,,,
1993-09-17,0.0,0.0,,,54.5,39.9,137,,,
1993-09-18,0.0,0.0,,,54.8,40.0,137,,,
1993-09-19,0.0,0.0,,,54.8,40.1,137,,,
1993-09-20,0.0,0.0,,,54.9,40.2,137,,,
1993-09-21,0.0,0.0,,,54.9,40.2,137,,,
1993-09-22,0.0,0.0,,,54.9,40.3,136,,,
1993-09-23,0.0,0.0,,,54.9,40.4,136,,,
1993-09-24,0.0,0.0,,,54.9,40.5,136,,,
1993-09-25,0.0,0.0,,,54.9,40.5,136,,,
1993-09-26,0.0,0.0,,,54.9,40.6,135,,,
1993-09-27,0.0,0.0,,,54.9,40.6,135,,,
1993-09-28,0.0,0.0,,,54.9,40.6,135,,,
1993-09-29,0.0,0.0,,,54.9,40.6,135,,,
1993-09-30,0.0,0.0,,,54.9,40.8,135,,,
1993-10-01,0.0,0.0,,,0.0,0.0,,,,
1993-10-02,0.0,0.0,,,0.0,0.1,0,,,
1993-10-03,0.0,0.0,,,0.0,0.2,0,,,
1993-10-04,0.0,0.0,,,0.0,0.3,0,,,
1993-10-05,0.0,0.0,,,0.0,0.4,0,,,
1993-10-06,0.0,0.0,,,0.0,0.6,0,,,
1993-10-07,0.0,0.0,,,0.3,0.7,43,,,
1993-10-08,0.1,0.0,,,1.0,0.7,143,,,
1993-10-09,0.3,0.0,,,1.5,0.8,188,,,
1993-10-10,0.2,0.0,,,1.5,0.8,188,,,
1993-10-11,0.0,0.0,,,1.7,0.9,189,,,
1993-10-12,0.0,0.0,,,2.0,1.0,200,,,
1993-10-13,0.0,0.0,,,2.2,1.1,200,,,
1993-10-14,0.0,0.0,,,2.3,1.1,209,,,
1993-10-15,0.0,0.0,,,2.7,1.2,225,,,
1993-10-16,0.3,0.0,,,3.1,1.3,238,,,
1993-10-17,0.4,0.0,,,3.2,1.4,229,,,
1993-10-18,0.7,0.0,,,3.8,1.5,253,,,
1993-10-19,1.0,0.0,,,4.2,1.7,247,,,
1993-10-20,1.0,0.0,,,4.2,1.8,233,,,
1993-10-21,1.0,0.0,,,4.2,2.0,210,,,
1993-10-22,1.1,0.0,,,4.3,2.1,205,,,
1993-10-23,1.1,0.0,,,4.3,2.1,205,,,
1993-10-24,1.1,0.0,,,4.3,2.3,187,,,
1993-10-25,1.1,0.0,,,4.3,2.4,179,,,
1993-10-26,1.1,0.0,,,4.3,2.5,172,,,
1993-10-27,1.1,0.0,,,4.3,2.6,165,,,
1993-10-28,1.1,0.1,1100,,4.3,2.7,159,,,
1993-10-29,1.1,0.2,550,,4.3,2.8,154,,,
1993-10-30,1.2,0.2,600,,4.4,2.9,152,,,
1993-10-31,1.2,0.4,300,,4.4,3.1,142,,,
1993-11-01,1.2,0.5,240,,4.4,3.3,133,,,
1993-11-02,1.2,0.6,200,,4.4,3.5,126,,,
1993-11-03,1.2,0.7,171,,4.4,3.7,119,,,
1993-11-04,1.2,0.8,150,,4.4,3.8,116,,,
1993-11-05,1.2,1.0,120,,4.4,3.9,113,,,
1993-11-06,1.2,1.1,109,,4.4,4.1,107,,,
1993-11-07,1.2,1.3,92,,4.4,4.2,105,,,
1993-11-08,1.2,1.4,86,,4.4,4.3,102,,,
1993-11-09,1.2,1.6,75,,4.4,4.5,98,,,
1993-11-10,1.2,1.7,71,,4.4,4.7,94,,,
1993-11-11,1.2,1.9,63,,4.5,4.8,94,,,
1993-11-12,1.2,2.0,60,,4.5,4.9,92,,,
1993-11-13,1.2,2.2,55,,4.5,5.0,90,,,
